"date","close","volume","open","high","low"
"2015/01/08","131.8000","4396793.0000","130.6000","131.9850","130.4000"
"2015/01/07","129.5100","3564668.0000","128.7400","129.9700","128.7200"
"2015/01/06","127.5300","4990786.0000","129.0500","129.6200","126.1800"
"2015/01/05","129.0500","4999661.0000","129.6600","129.9199","128.6100"
"2015/01/02","129.9500","4289665.0000","131.0700","131.8400","129.0900"
"2014/12/31","129.9800","2705122.0000","132.2500","132.3000","129.8600"
"2014/12/30","131.8300","2446215.0000","132.0000","132.2800","131.5200"
"2014/12/29","132.2900","2704005.0000","131.7200","132.7300","131.1700"
"2014/12/26","131.6300","2242707.0000","131.2900","131.9300","130.2300"
"2014/12/24","131.2400","2125345.0000","130.3000","132.3300","130.1700"
"2014/12/23","130.0300","4027790.0000","129.0400","130.6500","128.6519"
"2014/12/22","128.2200","3155800.0000","126.7300","128.5400","126.7300"
"2014/12/19","126.2300","7661979.0000","125.6300","127.4200","125.5000"
"2014/12/18","125.6700","6476327.0000","127.1300","127.3500","124.7700"
"2014/12/17","125.0600","6726053.0000","124.2800","125.3800","123.4200"
"2014/12/16","124.2500","7916082.0000","125.0400","125.5400","123.9100"
"2014/12/15","122.0800","6213530.0000","121.4000","122.8800","120.6000"
"2014/12/12","120.7700","6660688.0000","122.2400","122.2700","120.5800"
"2014/12/11","123.3700","6696151.0000","125.2200","125.6493","123.0000"
"2014/12/10","124.6400","6648786.0000","128.8100","128.9780","124.5400"
"2014/12/09","129.6600","3073864.0000","128.5600","129.7200","127.7400"
"2014/12/08","130.2800","2859629.0000","132.0200","132.0700","129.8700"
"2014/12/05","132.2100","2510681.0000","131.7200","132.6200","131.5300"
"2014/12/04","131.3200","2801919.0000","131.9700","132.5200","130.9180"
"2014/12/03","131.9700","4580851.0000","132.6500","133.2800","131.4300"
"2014/12/02","132.2800","2900382.0000","132.5000","132.9600","131.7500"
"2014/12/01","132.3900","3445414.0000","134.3100","134.4000","132.1956"
"2014/11/28","134.3600","2089964.0000","135.5100","135.7800","134.0400"
"2014/11/26","134.7800","2660070.0000","134.9500","135.3000","134.3900"
"2014/11/25","134.8100","4300699.0000","134.7400","135.6000","134.7400"
"2014/11/24","134.6100","4065302.0000","133.4500","134.7400","133.4400"
"2014/11/21","132.7800","4219509.0000","132.7200","133.3600","132.5100"
"2014/11/20","131.7000","4052829.0000","130.9400","132.4000","130.7100"
"2014/11/19","131.6100","5026744.0000","130.5900","132.7400","130.2500"
"2014/11/18","130.6600","5701167.0000","128.5500","131.3300","128.0400"
"2014/11/17","128.4200","3752879.0000","128.7000","129.1700","127.5500"
"2014/11/14","128.8600","6231178.0000","128.5300","129.7790","127.8500"
"2014/11/13","128.5300","5804940.0000","125.7400","128.9600","125.7400"
"2014/11/12","125.8700","3074741.0000","124.5100","126.1850","124.4700"
"2014/11/11","125.3600","3053465.0000","124.5800","125.7300","124.4500"
"2014/11/10","124.6400","2620954.0000","124.8700","124.9900","123.8000"
"2014/11/07","124.4500","2363382.0000","124.9300","124.9400","124.1700"
"2014/11/06","124.5800","2341800.0000","124.4800","124.8000","123.3700"
"2014/11/05","124.2200","3328993.0000","126.0100","126.2500","124.2000"
"2014/11/04","125.8400","3679743.0000","125.9400","126.7100","125.2601"
"2014/11/03","126.0300","3889584.0000","125.3500","126.2501","124.8850"
"2014/10/31","124.9100","4665275.0000","125.0300","125.8900","124.7300"
"2014/10/30","123.8200","2562618.0000","122.5200","124.1230","122.0100"
"2014/10/29","123.0800","3241723.0000","124.4800","124.4800","122.5550"
"2014/10/28","123.6100","4158894.0000","122.5000","123.7900","121.9600"
"2014/10/27","122.1200","2939997.0000","122.1300","122.2300","121.2600"
"2014/10/24","122.2400","4013346.0000","122.2000","122.8399","121.2600"
"2014/10/23","122.0300","7799608.0000","121.2700","122.8800","121.0600"
"2014/10/22","121.4500","13820190.0000","127.9900","128.0000","121.3400"
"2014/10/21","127.1200","5204088.0000","125.2100","127.2400","124.9300"
"2014/10/20","124.3100","3546681.0000","123.3900","124.7200","123.0000"
"2014/10/17","123.2400","4839847.0000","122.0500","123.8700","121.7800"
"2014/10/16","120.2900","4489716.0000","118.9100","121.3000","118.3900"
"2014/10/15","120.1900","7801536.0000","121.0600","121.1200","116.3200"
"2014/10/14","122.2900","3768107.0000","121.8400","123.3700","120.7200"
"2014/10/13","120.4500","3874221.0000","122.0500","123.1900","120.2550"
"2014/10/10","121.5000","4214237.0000","122.8700","123.3600","121.5000"
"2014/10/09","122.7600","4859865.0000","124.7200","124.7500","122.3100"
"2014/10/08","124.9800","3605822.0000","123.4700","125.0900","122.1500"
"2014/10/07","123.3200","3554369.0000","125.5200","125.5200","123.2900"
"2014/10/06","126.2600","2680998.0000","127.0900","127.1899","125.3800"
"2014/10/03","126.3600","3075845.0000","124.6600","126.8700","124.6600"
"2014/10/02","124.1700","3201292.0000","124.4000","125.5500","123.8381"
"2014/10/01","124.6700","5265245.0000","127.3700","127.3700","124.3100"
"2014/09/30","127.3800","4000248.0000","128.5700","129.3900","127.3100"
"2014/09/29","128.7700","3484890.0000","127.2100","129.5300","127.0000"
"2014/09/26","128.6900","2524076.0000","127.1900","129.0000","126.9600"
"2014/09/25","127.1400","2896441.0000","128.3100","128.4896","127.0100"
"2014/09/24","128.5800","2879291.0000","127.4600","128.8000","127.2300"
"2014/09/23","127.3800","2957891.0000","128.2800","128.5400","127.0300"
"2014/09/22","128.6100","2875108.0000","129.3700","129.8700","128.4600"
"2014/09/19","129.3500","5625556.0000","129.2700","129.7000","128.9200"
"2014/09/18","128.5800","2717849.0000","128.0000","128.9000","128.0000"
"2014/09/17","127.7600","3047700.0000","128.2500","128.3800","127.2000"
"2014/09/16","127.3200","3377247.0000","126.2000","127.7000","125.7200"
"2014/09/15","126.3100","3261654.0000","126.9200","126.9500","125.6900"
"2014/09/12","126.9500","3107266.0000","127.4900","127.5600","126.6100"
"2014/09/11","127.6400","1988187.0000","127.8200","127.9900","127.2000"
"2014/09/10","128.2200","3068166.0000","128.4700","128.4700","127.4800"
"2014/09/09","128.2100","4828632.0000","127.8100","128.6800","127.6200"
"2014/09/08","127.9800","6061511.0000","125.9000","128.2500","125.9000"
"2014/09/05","124.6900","4913284.0000","125.4300","125.5500","124.1000"
"2014/09/04","125.4600","2975344.0000","126.3800","126.7500","125.2600"
"2014/09/03","125.9400","3966506.0000","125.4600","126.2400","125.2000"
"2014/09/02","125.4800","4574721.0000","125.6200","126.2600","124.5700"
"2014/08/29","126.8000","3032708.0000","127.3500","127.3500","126.0500"
"2014/08/28","127.1100","3070343.0000","127.3400","127.7500","126.7200"
"2014/08/27","128.2000","3075192.0000","128.7700","128.9900","127.9500"
"2014/08/26","128.6000","2326036.0000","128.6900","129.1300","128.3100"
"2014/08/25","128.3300","2306956.0000","128.0800","128.4900","127.7750"
"2014/08/22","127.4600","2394699.0000","127.3300","127.8000","126.9600"
"2014/08/21","127.5000","2522227.0000","127.5400","127.7800","126.7400"
"2014/08/20","127.3500","4316599.0000","125.8900","127.7100","125.5800"
"2014/08/19","125.5800","2982513.0000","125.2200","125.7900","125.1100"
