default,nw.ta,inc.na,cashp,pat.nw,contl.nw,fa.ta,inv.nw,nw.ce,debt.equity,current.r,debtr.turn,goods.turn,debt.ta
1,0.23266745,0.888366627,-18,-0.2523,0.0533,0.573443008,0.421717172,0.441964286,1.26,0.89,5.84,2.4,0.293772033
1,0.817745803,10.66906475,18.85,0.0792,0.0533,2.242206235,0.244868035,0.909333333,0.1,5,6.32,17.27,0.081534772
1,0.175695461,0.026354319,-10.7,-0.62036,2.17464,0.25329429,0.695833333,0.666666667,0.5,0.71,1.312,4.21,0.087847731
1,0.253521127,1.352112676,-15,-0.62036,0.0533,0.436619718,4.638888889,0.418604651,7.6,1.29,2.89,19.86,0.535211268
1,0.077253219,0.077253219,-2.6,-0.62036,0.0533,0.78111588,4.638888889,0.1,9.59,2,6.32,17.27,0.699570815
1,0.051666667,0.115833333,-7.3,-0.62036,0.6452,0.6425,1.346774194,0.121807466,7.21,3.79,1.93,2.192,0.3725
1,0.047215496,0.021791768,-4.3,-0.62036,1.1538,0.716707022,0.025641026,0.433333333,1.31,0.31,1.312,17.27,0.061743341
1,0.021081081,1.454594595,-5.6,-0.62036,1.2821,0.494054054,2.141025641,0.057101025,10.75,0.91,28.35,20.99,0.185945946
1,0.013707165,0.279750779,-16.7,0.0792,0.0533,0.581931464,3.795454545,0.025641026,10.75,0.33,6.32,17.27,0.520872274
1,0.047619048,2.037037037,0.2,-0.62036,0.0533,0.380952381,4.638888889,0.050847458,10.75,1.57,17.3,113.17,0.91005291
1,0.083333333,1.483918129,2.3,0.0545,0.0533,0.301169591,1.464912281,0.157024793,5.37,0.87,3.06,305.334,0.447368421
1,0.290322581,71.75806452,-0.1,-0.2857,0.0533,0.258064516,4.638888889,0.486486486,0.79,0.87,6.32,17.27,16
1,0.07480315,0.844488189,18.85,-0.62036,0.0533,0.309055118,2.197368421,0.09382716,9.66,1.95,1.41,4.07,0.722440945
1,0.290322581,71.75806452,18.85,0.0792,0.0533,15.08064516,4.638888889,0.486486486,0.79,1.23,6.32,17.27,16
1,0.076699029,1.099029126,-5.3,-0.5893,1.6329,0.153398058,1.518987342,0.107482993,8.3,0.69,4.06,13.37,0.636893204
1,0.073184842,1.286954006,-9.6,-0.3834,0.0356,0.762800116,0.330039526,0.092538405,9.81,0.74,6.32,2.192,0.708706971
1,0.004808977,1.188618755,-3.4,-0.62036,2.17464,0.763558643,4.638888889,0.006351447,10.75,1.23,6.32,17.27,0.753139193
1,0.034615385,0.188461538,0.2,-0.62036,2.17464,0.471153846,4.638888889,0.042654028,10.75,2.08,6.32,3.15,0.805769231
1,0.237991266,2.102620087,-1.3,0.0792,0.0533,0.390829694,0.766055046,0.807407407,0.24,0.64,6.32,17.27,0.056768559
1,0.043923865,0.007027818,-18,-0.62036,0.0533,0.983016105,0.556666667,0.104748603,8.55,0.31,4,305.334,0.375402635
1,0.012535964,0.869502672,-18,0.0792,2.17464,0.726058364,1.368852459,0.575471698,0.74,0.31,6.32,17.27,0.009247842
1,0.35483871,0.290322581,-0.8,0.0792,0.0533,15.08064516,0.090909091,0.594594595,0.79,1.23,6.32,17.27,16
1,0.093264249,0.093264249,-1.5,-0.2,2.17464,0.202072539,4.638888889,0.104046243,8.61,5.766,6.32,17.27,0.699481865
1,0.747826087,0.156521739,-0.7,-0.1413,0.686,0.895652174,0.970930233,0.934782609,0.07,0.31,5.6,6.48,0.069565217
1,0.41025641,2.4,3.4,0.1,0.0533,0.347008547,0.347916667,0.43715847,1.29,1.1,12.65,12.91,0.524786325
1,0.055045872,1.562691131,0.1,0.0792,0.0533,0.428134557,4.638888889,0.062283737,10.75,2.66,6.32,17.27,0.877675841
1,0.147928994,1.067307692,109.9,0.0792,0.18,0.774408284,0.4175,0.171969046,4.82,0.86,3.18,4.15,0.712278107
1,0.290322581,71.75806452,18.85,0.0792,0.0533,15.08064516,4.638888889,0.486486486,0.79,1.23,6.32,17.27,16
1,0.290322581,71.75806452,-0.1,0.0792,0.0533,15.08064516,4.638888889,0.486486486,0.79,1.23,6.32,17.27,16
1,0.290322581,71.75806452,18.85,0.0792,0.0533,15.08064516,4.638888889,0.486486486,0.79,1.23,6.32,17.27,16
1,0.139303483,1.298507463,0.8,-0.25,0.0533,0.492537313,2.982142857,0.274509804,2.64,0.64,23.55,3.95,0.368159204
1,0.068181818,0.143939394,-0.2,-0.62036,0.0533,0.356060606,4.638888889,0.115384615,8.18,0.89,1.312,2.192,0.526515152
1,0.051880674,0.645914397,-0.1,-0.4158,0.0533,0.241245136,2.0875,0.090909091,10,1.6,3.07,3,0.518806744
1,0.290322581,71.75806452,18.85,0.0792,2.17464,15.08064516,4.638888889,0.486486486,6,0.31,6.32,17.27,0.387096774
1,0.02278481,0.02278481,-2.7,-0.62036,2.17464,0.691139241,4.638888889,0.041958042,10.75,0.34,6.32,2.6,0.535443038
1,0.483870968,0.290322581,-0.4,-0.125,0.0533,0.258064516,2.783333333,0.75,0.33,1.75,6.32,17.27,0.161290323
1,0.045918367,0.045918367,18.85,0.0792,0.0533,0.06377551,0.111111111,0.046035806,10.75,5.766,6.32,17.27,0.987244898
1,0.038109756,0.385670732,-2.1,-0.62036,1.2,0.596036585,3.34,0.048543689,10.75,1.94,1.32,10.25,0.442073171
1,0.126948775,1.428730512,0.8,-0.3478,0.0533,0.493318486,0.350877193,0.142322097,6.03,3.8,22.58,7.56,0.765033408
1,0.290322581,71.75806452,18.85,0.0792,0.0533,0.419354839,4.638888889,0.486486486,4.2,1.23,6.32,17.27,0.338709677
1,0.090293454,1.189616253,18.85,0.0792,0.0533,0.372460497,2.0875,0.120845921,7.28,0.89,6.32,17.27,0.656884876
1,0.189473684,0.705263158,-3.4,-0.62036,1.3333,0.178947368,4.638888889,0.486486486,0.67,0.86,1.312,17.27,0.084210526
1,0.629032258,71.75806452,18.85,0.0792,0.0533,15.08064516,2.141025641,1,0.79,1.23,6.32,17.27,16
1,0.02970297,7.341584158,18.85,0.0792,0.5,0.861386139,4.638888889,0.037344398,10.75,0.31,6.32,17.27,0.778877888
1,0.102633723,0.666304643,16.2,-0.1771,0.0741,0.827586207,0.220899471,0.128571429,6.78,0.94,20.86,37.18,0.686939995
1,0.230769231,0.397435897,2.5,0.0792,2.17464,0.243589744,1.277777778,0.486486486,3.57,0.33,1.77,17.27,0.102564103
1,0.08115942,0.457971014,11.4,0.0792,0.7143,0.860869565,2.982142857,0.083832335,10.75,3,6.32,17.27,0.886956522
1,0.096956829,1.038924275,-6.4,-0.4036,0.0365,0.072186837,1.576642336,0.201767305,3.96,0.94,2.61,13.43,0.383581033
