m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2017,Q,,2017,3,2017,2,7,1.3883,,,0.4043,0.8181,38.513,23.7139,23.7139,,24.9031,19.1971,39356,,,,0.1316,8.8748,2.0064,44.8573,6.5826,7.0117,2.5254,3.9215,7.52,25.6152,9.1606
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2011,Q,,2011,3,2011,1,7,2.7561,,,0.1823,0.2229,76.2783,34.7516,34.7516,,36.6752,31.8481,19339,,,,0.1647,3.6903,1.6374,54.9653,9.7882,13.0611,5.2463,8.004,2.2725,6.3399,2.4738
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2011,A,,2011,4,2011,2,7,2.6037,,,0.1728,0.2088,77.729,38.8331,38.8331,42.7877,40.1341,33.0984,24639,,,,0.6434,11.3535,4.6669,78.2102,40.555,52.9046,21.2964,33.5488,2.8673,6.8151,3.1414
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2011,Q,,2012,1,2011,3,7,2.9468,,,0.1672,0.2008,78.2581,41.4633,41.4633,,42.0562,33.0302,8057,,,,0.1617,1.6639,1.711,52.6002,9.6614,12.5207,5.3419,8.0457,0.949,7.062,1.0004
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2011,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2012,Q,,2012,3,2012,1,7,2.937,,,0.1481,0.1739,77.2965,36.6175,36.6175,,36.5543,29.3445,22266,,,,0.1475,2.7989,1.5881,56.672,7.4397,11.0551,4.3284,6.3377,2.6201,8.1737,2.8182
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2012,A,,2012,4,2012,2,7,2.6029,,,0.139,0.18,76.2218,29.52,29.52,41.9449,30.2036,23.0295,29321,,,,0.6079,15.4178,4.6719,78.1262,25.5835,34.1328,14.0001,22.0276,3.447,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2012,Q,,2013,1,2012,3,7,2.6766,,,0.1237,0.1736,73.963,33.1584,33.1584,,34.5702,27.8986,7881,,,,0.1313,2.5665,1.6217,55.4966,6.4879,8.766,3.6644,5.6856,0.9278,8.1734,0.9988
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2012,Q,,2013,2,2012,4,7,2.8071,,,0.1413,0.1955,73.4713,36.2183,36.2183,,36.2137,2,,,,,,,,,,,,,,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2013,Q,,2013,3,2013,1,7,2.9291,,,0.1348,0.1851,76.6363,37.1516,37.1516,,37.1077,29.5524,20467,,,,0.1528,2.2443,1.7087,52.6717,7.8956,10.3036,4.5151,6.8312,2.4282,9.1853,2.7204
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2013,A,,2013,4,2013,2,7,2.7118,,,0.1376,0.1976,73.8147,34.3794,34.3794,39.2028,34.7493,28.0839,24576,,,,0.5466,10.5186,4.4521,81.9842,27.6943,35.7204,15.3499,23.8822,2.9015,9.4793,3.4041
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2013,Q,,2014,1,2013,3,7,2.8724,,,0.134,0.1951,72.2327,34.1843,34.1843,,34.5836,28.3016,6974,,,,0.1302,1.969,1.6834,53.4638,6.4232,8.1948,3.6839,5.5626,0.8269,9.7821,0.9728
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2013,Q,,2014,2,2013,4,7,3.1673,,,0.1955,0.27,66.059,32.5013,32.5013,,32.1302,26.7466,9655,,,,0.1597,5.2208,1.5338,58.6786,7.7062,9.7192,4.2711,6.1999,1,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2014,Q,,2014,3,2014,1,7,3.2152,,,0.1913,0.2594,70.7004,34.1813,34.1813,,34.0979,27.741,18562,,,,0.1307,3.1135,1.5117,59.5368,6.4742,8.1121,3.6254,5.2357,2.2185,10.584,2.7151
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2014,A,,2014,4,2014,2,7,2.504,,,0.187,0.2522,68.816,31.9683,31.9683,37.9706,32.0385,25.4212,27017,,,,0.5037,10.1797,4.4429,82.1526,24.5857,35.2192,12.8051,19.9893,3.2167,10.8974,3.8697
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2014,Q,,2015,1,2014,3,7,2.5158,,,0.17,0.2631,64.3421,25.1886,25.1886,,25.4127,19.5681,7072,,,,0.1368,2.6339,1.8003,49.9905,5.0349,7.1613,2.676,4.1789,0.8468,10.9231,1.0004
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2014,Q,,2015,2,2014,4,7,2.4541,,,0.1658,0.3081,61.7076,29.3767,29.3767,,29.6562,22.1496,9922,,,,0.1514,4.9372,1.6354,55.0336,6.3812,9.3472,3.3532,5.3233,1.1959,11.1802,1.53
