m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2015,Q,,2015,3,2015,3,7,3.3048,,,0.6,1.8877,29.1601,12.9157,12.9157,,7.3141,8.9411,10745,,,,0.0482,1.0296,0.2776,324.2061,1.5959,4.2827,0.3294,0.6383,1.0562,11.8696,1.2922
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2015,Q,,2015,4,2015,4,7,1.6257,,,0.5909,1.9425,30.4143,11.215,11.215,,5.6149,18.5383,15602,,,,0.0687,1.0475,0.7391,121.7703,2.6415,15.73,0.5364,1.0805,1.5886,10.6765,2.0254
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2016,Q,,2016,1,2016,1,7,1.6896,,,0.5876,1.9758,26.8774,9.3985,9.3985,,0.8547,-0.2191,-596,,,,0.0602,0.8517,0.6296,142.9592,0.4474,4.2992,0.0898,0.1845,-0.0635,10.0868,0.0686
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2016,Q,,2016,2,2016,2,7,1.9142,,,0.5856,1.7815,33.1731,17.6897,17.6897,,11.417,8.2283,-4665,,,,0.0834,0.9054,0.7645,117.7277,3,,,,,,
29.6106,13.6249,13.6249,,8.9372,-4.6534,10443,,,,0.0478,1.0999,0.2955,304.5668,1.5328,4.2732,0.2968,0.5971,1.0281,11.7149,1.2192,,,,,,,,,,,,,,,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2015,Q,,2015,3,2015,3,7,3.3048,,,0.6,1.8877,29.1601,12.9157,12.9157,,7.3141,8.9411,10745,,,,0.0482,1.0296,0.2776,324.2061,1.5959,4.2827,0.3294,0.6383,1.0562,11.8696,1.2922
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2015,Q,,2015,4,2015,4,7,1.6257,,,0.5909,1.9425,30.4143,11.215,11.215,,5.6149,18.5383,15602,,,,0.0687,1.0475,0.7391,121.7703,2.6415,15.73,0.5364,1.0805,1.5886,10.6765,2.0254
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2016,Q,,2016,1,2016,1,7,1.6896,,,0.5876,1.9758,26.8774,9.3985,9.3985,,0.8547,-0.2191,-596,,,,0.0602,0.8517,0.6296,142.9592,0.4474,4.2992,0.0898,0.1845,-0.0635,10.0868,0.0686
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2016,Q,,2016,2,2016,2,7,1.9142,,,0.5856,1.7815,33.1731,17.6897,17.6897,,11.417,8.2283,-4665,,,,0.0834,0.9054,0.7645,117.7277,3.8799,114.5436,0.8377,1.6076,-0.5078,9.6732,-0.3086
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2016,Q,,2016,3,2016,3,7,2.0119,,,0.5807,1.7626,28.3606,12.7076,12.7076,,7.0867,6.8134,-3579,,,,0.0755,0.8694,0.6751,133.3148,2.4611,-63.7915,0.5303,1.032,-0.397,9.4439,-0.2077
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2016,Q,,2016,4,2016,4,7,1.9252,,,0.5756,1.7524,28.1522,13.8721,13.8721,,8.7464,10.5386,-3019,,,,0.0906,1.0635,0.7829,114.9535,4.7236,-39.0026,1.0022,2.0047,-0.3307,8.8636,-0.0267
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2017,Q,,2017,1,2017,1,7,1.8755,,,0.5668,1.6804,26.3955,9.4179,9.4179,,3.008,2.2379,-349,,,,0.0787,0.8968,0.6963,129.2473,1.0713,-7.6584,0.2321,0.464,-0.0396,8.7717,0.0351
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2017,Q,,2017,2,2017,2,7,1.848,,,0.5777,1.7645,26.2704,11.3167,11.3167,,5.1255,4.0091,1367,,,,0.0832,0.954,0.7436,121.0393,1.9781,-11.1185,0.4217,0.8353,0.1561,8.753,0.2847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8799,114.5436,0.8377,1.6076,-0.5078,9.6732,-0.3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2016,Q,,2016,3,2016,3,7,2.0119,,,0.5807,1.7626,28.3606,12.7076,12.7076,,7.0867,6.8134,-3579,,,,0.0755,0.8694,0.6751,133.3148,2.4611,-63.7915,0.5303,1.032,-0.397,9.4439,-0.2077
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2016,Q,,2016,4,2016,4,7,1.9252,,,0.5756,1.7524,28.1522,13.8721,13.8721,,8.7464,10.5386,-3019,,,,0.0906,1.0635,0.7829,114.9535,4.7236,-39.0026,1.0022,2.0047,-0.3307,8.8636,-0.0267
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2017,Q,,2017,1,2017,1,7,1.8755,,,0.5668,1.6804,26.3955,9.4179,9.4179,,3.008,2.2379,-349,,,,0.0787,0.8968,0.6963,129.2473,1.0713,-7.6584,0.2321,0.464,-0.0396,8.7717,0.0351
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2017,Q,,2017,2,2017,2,7,1.848,,,0.5777,1.7645,26.2704,11.3167,11.3167,,5.1255,4.0091,1367,,,,0.0832,0.954,0.7436,121.0393,1.9781,-11.1185,0.4217,0.8353,0.1561,8.753,0.2847
